FID,CTLabel,BoroCode,BoroName,CT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area,nyct2010.poly_area,nyct2010.pct_qbuf,nyct2010.prop,OBJECTID *,Field1,X,name,totalpop,popdensity,mpop,fpop,pov,hhold,hhold_income,noins,transportation,pct_m_vuln,pct_f_vuln,pct_age_vuln,pct_pov,pct_noins,rank_noins,rank_pov,rank_agevuln,rank_income,rank_commute,rank_popdensity,pct_emp,rank_emp,rank_sum,BoroName,trunctfips,BoroCT2010,Shape_Area,flag_pov,flag_noins,flag_agevuln,flag_commute,flag_popdensity,flag_emp,flag_pov_75,flag_noins_75,flag_agevuln_75,flag_commute_75,flag_popdensity_75,flag_emp_75,flag_sum,flag_sum_75,fipstemp *
0,9,5,Staten Island,900,I,SI22,West New Brighton-New Brighton-St. George,3903,7729.016729,2497009.699,0.089568,0,0,1961,1961,1960,"Census Tract 9, Richmond County, New York",1962,21914.9,339,433,107,661,60352,269,0,0.172783,0.220693,0.393476,0.161875946,0,57.703488,41,82.655039,40.649225,57.703488,20.445736,0.000377,26.405039,326.986434,Staten Island,85000900,5000900,2497009.699,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000900
1,125,5,Staten Island,12500,I,SI22,West New Brighton-New Brighton-St. George,3903,10582.85553,4954936.238,0.177735,0,0,1994,1994,1993,"Census Tract 125, Richmond County, New York",2818,15944.7,519,468,191,932,77875,133,0,0.184173,0.166075,0.350248,0.204935622,0,10.949612,57,60.707364,21.414729,10.949612,12.54845,0.000258,15.261628,188.372093,Staten Island,85012500,5012500,4954936.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5012500
2,133.01,5,Staten Island,13301,E,SI22,West New Brighton-New Brighton-St. George,3903,3428.312676,721784.6622,0.025891,0,0,2001,2001,2000,"Census Tract 133.01, Richmond County, New York",1746,67156.5,284,431,458,637,15285,174,0,0.162658,0.24685,0.409507,0.71899529,0,36.870155,99,87.45155,99.370155,36.870155,74.127907,0.000859,67.44186,501.501938,Staten Island,85013301,5013301,721784.6622,1,0,0,0,0,0,1,0,1,0,0,0,1,2,5013301
3,197,5,Staten Island,19700,I,SI07,Westerleigh,3903,9097.697231,3231720.012,0.115922,0,0,2032,2032,2031,"Census Tract 197, Richmond County, New York",1761,15195.3,300,311,59,703,93125,72,0,0.170358,0.176604,0.346962,0.083926031,0,8.381783,12,58.381783,11.046512,8.381783,11.627907,0.00034,22.965116,133.139535,Staten Island,85019700,5019700,3231720.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5019700
4,64,5,Staten Island,6400,I,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902,12726.36045,7643183.682,0.274163,0,0,1977,1977,1976,"Census Tract 64, Richmond County, New York",3116,11374.7,575,631,296,1152,50880,281,0,0.184531,0.202503,0.387035,0.256944444,0,31.492248,69,80.03876,55.03876,31.492248,7.703488,0.0002,8.914729,283.624031,Staten Island,85006400,5006400,7643183.682,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5006400
5,74,5,Staten Island,7400,I,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902,9902.948471,5788237.871,0.207625,0,0,1980,1980,1979,"Census Tract 74, Richmond County, New York",4725,18549.6,544,782,269,1614,72866,409,0,0.115132,0.165503,0.280635,0.166666667,0,29.263566,43,20.833333,25.920543,29.263566,16.133721,0.000316,20.542636,184.883721,Staten Island,85007400,5007400,5788237.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5007400
6,22.02,1,Manhattan,2202,I,MN28,Lower East Side,3809,3817.391631,603922.2756,0.021663,83.246771,1618.323706,1082,1082,1081,"Census Tract 22.02, New York County, New York",1944,89765.3,82,168,183,986,76250,266,0,0.042181,0.08642,0.128601,0.185598377,0,57.50969,49,1.792636,22.868217,57.50969,85.901163,0.002196,97.432171,371.802326,Manhattan,61002202,1002202,603922.2756,0,0,0,0,0,1,0,0,0,0,1,1,1,2,1002202
7,32,1,Manhattan,3200,I,MN22,East Village,3809,6358.386684,2334190.232,0.083728,166.367885,7643.756867,1093,1093,1092,"Census Tract 32, New York County, New York",7802,92828.5,718,905,860,4517,67318,549,0,0.092028,0.115996,0.208024,0.190391853,0,21.414729,51,6.395349,31.540698,21.414729,87.063953,0.001829,94.815891,313.420543,Manhattan,61003200,1003200,2334190.232,0,0,0,0,0,1,0,0,0,0,1,1,1,2,1003200
8,68,1,Manhattan,6800,I,MN21,Gramercy,3808,5723.883037,1877943.253,0.067362,198.364719,6957.998594,1127,1127,1126,"Census Tract 68, New York County, New York",6973,103529.4,524,485,686,3854,104252,179,0,0.075147,0.069554,0.144701,0.177996886,0,3.924419,46,2.47093,7.848837,3.924419,91.036822,0.001972,95.978682,251.647287,Manhattan,61006800,1006800,1877943.253,0,0,0,0,1,1,0,0,0,0,1,1,2,2,1006800
9,89,1,Manhattan,8900,I,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,5578.769499,1782278.507,0.063931,274.761486,5610.603381,1148,1148,1147,"Census Tract 89, New York County, New York",5614,87815.8,678,612,439,3058,87802,224,0,0.12077,0.109013,0.229783,0.143557881,0,8.042636,35,8.866279,14.147287,8.042636,85.02907,0.00178,93.895349,253.343023,Manhattan,61008900,1008900,1782278.507,0,0,0,0,0,1,0,0,0,0,1,1,1,2,1008900
10,96,1,Manhattan,9600,E,MN17,Midtown-Midtown South,3807,5737.356247,1887288.401,0.067697,311.796857,147.000007,1155,1155,1154,"Census Tract 96, New York County, New York",147,2171.5,3,0,11,128,91875,0,0,0.020408,0,0.020408,0.0859375,0,1.114341,13,0.484496,11.967054,1.114341,1.744186,0.000317,20.639535,49.95155,Manhattan,61009600,1009600,1887288.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009600
11,98,1,Manhattan,9800,I,MN19,Turtle Bay-East Midtown,3808,5534.199811,1906016.35,0.068369,364.736166,7232.999767,1157,1157,1156,"Census Tract 98, New York County, New York",7233,105797.1,891,1170,335,4201,110735,246,0,0.123185,0.161759,0.284944,0.079742918,0,6.153101,11,22.141473,5.474806,6.153101,91.860465,0.002087,96.753876,239.292636,Manhattan,61009800,1009800,1906016.35,0,0,0,0,1,1,0,0,0,0,1,1,2,2,1009800
12,100,1,Manhattan,10000,I,MN19,Turtle Bay-East Midtown,3808,5692.168488,1860938.378,0.066752,437.965189,1826.000208,1159,1159,1158,"Census Tract 100, New York County, New York",1826,27353.9,215,261,225,1217,108542,112,0,0.117744,0.142935,0.260679,0.184880855,0,17.102713,49,15.213178,6.25,17.102713,28.924419,0.000722,57.267442,190.455426,Manhattan,61010000,1010000,1860938.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010000
13,102,1,Manhattan,10200,I,MN17,Midtown-Midtown South,3807,5687.802579,1860992.536,0.066754,393.533068,224.999996,1161,1161,1160,"Census Tract 102, New York County, New York",225,3370.6,22,26,61,124,100500,82,0,0.097778,0.115556,0.213333,0.491935484,0,98.934109,95,7.170543,8.817829,98.934109,2.374031,0.00029,18.217054,329.699612,Manhattan,61010200,1010200,1860992.536,1,1,0,1,0,0,1,1,0,1,0,0,3,3,1010200
14,104,1,Manhattan,10400,I,MN17,Midtown-Midtown South,3807,5693.036118,1864600.351,0.066884,322.355334,1020.999992,1163,1163,1162,"Census Tract 104, New York County, New York",1021,15265,151,225,112,673,107875,55,0,0.147894,0.220372,0.368266,0.166419019,0,14.001938,43,71.124031,6.637597,14.001938,11.773256,0.000429,31.443798,191.715116,Manhattan,61010400,1010400,1864600.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010400
15,112.01,1,Manhattan,11201,I,MN17,Midtown-Midtown South,3807,3716.146785,856164.3561,0.030711,212.894406,843.000059,1170,1170,1169,"Census Tract 112.01, New York County, New York",843,27451.2,96,98,34,589,225250,16,0,0.113879,0.116251,0.23013,0.057724958,0,2.422481,5,8.963178,1.017442,2.422481,29.118217,0.000737,58.963178,108.042636,Manhattan,61011201,1011201,856164.3561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011201
16,112.02,1,Manhattan,11202,I,MN17,Midtown-Midtown South,3807,3688.762328,839525.7815,0.030114,262.896919,265.999967,1171,1171,1170,"Census Tract 112.02, New York County, New York",266,8831.6,41,40,8,183,153594,12,0,0.154135,0.150376,0.304511,0.043715847,0,9.786822,3,31.056202,1.937984,9.786822,4.94186,0.000455,33.817829,94.186047,Manhattan,61011202,1011202,839525.7815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011202
17,112.03,1,Manhattan,11203,I,MN19,Turtle Bay-East Midtown,3808,3701.173031,854082.5154,0.030636,241.137403,1265.703803,1172,1172,1171,"Census Tract 112.03, New York County, New York",1298,43129.4,183,286,135,738,117059,33,0,0.140986,0.220339,0.361325,0.182926829,0,3.77907,48,67.199612,4.748062,3.77907,49.467054,0.000919,71.027132,248.062016,Manhattan,61011203,1011203,854082.5154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011203
18,113,1,Manhattan,11300,I,MN17,Midtown-Midtown South,3807,5699.860641,1890907.331,0.067827,354.140295,144.541278,1173,1173,1172,"Census Tract 113, New York County, New York",146,2152.8,2,2,4,66,81786,17,0,0.013699,0.013699,0.027397,0.060606061,0,45.978682,6,0.532946,18.362403,45.978682,1.695736,0.00028,17.296512,135.755814,Manhattan,61011300,1011300,1890907.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011300
19,114.02,1,Manhattan,11402,I,MN40,Upper East Side-Carnegie Hill,3805,4125.2561,1063547.405,0.03815,135.614212,2367.484232,1175,1175,1174,"Census Tract 114.02, New York County, New York",2385,62522.1,468,496,119,1305,147125,83,0,0.196226,0.207966,0.404193,0.091187739,0,6.29845,15,85.804264,2.180233,6.29845,70.930233,0.001132,81.29845,267.684108,Manhattan,61011402,1011402,1063547.405,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1011402
20,130,1,Manhattan,13000,I,MN40,Upper East Side-Carnegie Hill,3805,5807.972956,1918144.54,0.068804,44.028394,1305.32917,1190,1190,1189,"Census Tract 130, New York County, New York",3693,53666.8,885,1034,198,1901,217070,21,0,0.239643,0.279989,0.519632,0.104155708,0,1.30814,19,98.594961,1.162791,1.30814,61.821705,0.000721,57.073643,240.261628,Manhattan,61013000,1013000,1918144.54,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1013000
21,140,1,Manhattan,14000,I,MN40,Upper East Side-Carnegie Hill,3805,5820.81564,1925984.223,0.069085,366.821278,7633.000791,1200,1200,1199,"Census Tract 140, New York County, New York",7633,110376.9,1194,1320,211,3742,131964,112,0,0.156426,0.172933,0.329359,0.056386959,0,1.841085,5,46.366279,3.003876,1.841085,92.926357,0.00173,93.410853,244.331395,Manhattan,61014000,1014000,1925984.223,0,0,0,0,1,1,0,0,0,0,1,1,2,2,1014000
22,146.01,1,Manhattan,14601,I,MN32,Yorkville,3805,4016.133393,799879.9085,0.028692,550.632559,4403.999227,1206,1206,1205,"Census Tract 146.01, New York County, New York",4404,153459.1,492,436,276,2550,114792,397,0,0.111717,0.099001,0.210718,0.108235294,0,31.443798,21,6.686047,4.99031,31.443798,98.643411,0.003218,99.757752,293.943799,Manhattan,61014601,1014601,799879.9085,0,0,0,0,1,1,0,0,0,0,1,1,2,2,1014601
23,146.02,1,Manhattan,14602,I,MN32,Yorkville,3805,4528.695483,1175338.612,0.04216,637.078329,7728.001262,1207,1207,1206,"Census Tract 146.02, New York County, New York",7728,183301.5,596,1002,341,4655,93420,178,0,0.077122,0.129658,0.206781,0.073254565,0,3.197674,9,6.25,10.755814,3.197674,99.709302,0.003693,99.854651,231.734496,Manhattan,61014602,1014602,1175338.612,0,0,0,0,1,1,0,0,0,0,1,1,2,2,1014602
24,148.01,1,Manhattan,14801,I,MN40,Upper East Side-Carnegie Hill,3805,3135.951423,559216.1578,0.020059,555.318978,2932.999988,1209,1209,1208,"Census Tract 148.01, New York County, New York",2933,146144.3,593,596,59,1421,149875,27,0,0.202182,0.203205,0.405387,0.041520056,0,1.453488,3,86.19186,2.083333,1.453488,98.110465,0.002654,99.176357,291.085271,Manhattan,61014801,1014801,559216.1578,0,0,0,0,1,1,0,0,1,0,1,1,2,3,1014801
25,148.02,1,Manhattan,14802,I,MN40,Upper East Side-Carnegie Hill,3805,4691.029341,1351364.99,0.048474,570.261084,7125.000259,1210,1210,1209,"Census Tract 148.02, New York County, New York",7125,146900.7,1236,1333,271,3376,112237,205,0,0.173474,0.187088,0.360561,0.080272512,0,4.505814,11,66.472868,5.281008,4.505814,98.158915,0.0024,98.449612,288.372093,Manhattan,61014802,1014802,1351364.99,0,0,0,0,1,1,0,0,0,0,1,1,2,2,1014802
26,153,1,Manhattan,15300,I,MN14,Lincoln Square,3806,5674.292342,1872392.705,0.067163,87.527783,6991.136466,1216,1216,1215,"Census Tract 153, New York County, New York",9025,134247.5,1319,1744,432,4773,120889,545,0,0.14615,0.193241,0.339391,0.090509114,0,16.812016,15,53.391473,4.118217,16.812016,97.189922,0.002388,98.352713,301.308139,Manhattan,61015300,1015300,1872392.705,0,0,0,0,1,1,0,0,0,0,1,1,2,2,1015300
27,154,1,Manhattan,15400,I,MN32,Yorkville,3805,5536.958004,1909222.234,0.068484,380.791987,14968.99886,1217,1217,1216,"Census Tract 154, New York County, New York",14969,218578.8,2030,2479,995,7814,83767,904,0,0.135614,0.165609,0.301223,0.127335552,0,16.860465,29,29.602713,16.182171,16.860465,99.854651,0.003693,99.903101,308.236434,Manhattan,61015400,1015400,1909222.234,0,0,0,0,1,1,0,0,0,0,1,1,2,2,1015400
28,156.01,1,Manhattan,15601,I,MN32,Yorkville,3805,4004.82447,791912.5084,0.028406,189.519109,5718.998723,1219,1219,1218,"Census Tract 156.01, New York County, New York",5719,201344.9,287,501,196,2913,87363,625,0,0.050184,0.087603,0.137786,0.067284586,0,42.151163,7,2.180233,14.486434,42.151163,99.806202,0.00386,100,307.945736,Manhattan,61015601,1015601,791912.5084,0,0,0,0,1,1,0,0,0,0,1,1,2,2,1015601
29,156.02,1,Manhattan,15602,E,MN33,East Harlem South,3804,4524.706934,1169934.511,0.041966,126.772093,2286.000137,1220,1220,1219,"Census Tract 156.02, New York County, New York",2286,54440.8,315,251,230,946,45592,301,0,0.137795,0.109799,0.247594,0.243128964,0,54.118217,66,12.015504,62.790698,54.118217,62.984496,0.000937,71.947674,383.963178,Manhattan,61015602,1015602,1169934.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015602
30,160.01,1,Manhattan,16001,I,MN40,Upper East Side-Carnegie Hill,3805,4698.507096,1351864.835,0.048492,152.591816,3695.000325,1225,1225,1224,"Census Tract 160.01, New York County, New York",3695,76185.2,762,807,88,1664,182917,75,0,0.206225,0.218403,0.424628,0.052884615,0,2.616279,4,91.327519,1.30814,2.616279,79.602713,0.001106,80.184109,261.870155,Manhattan,61016001,1016001,1351864.835,0,0,1,0,0,0,0,0,1,0,1,1,1,3,1016001
31,184,1,Manhattan,18400,E,MN34,East Harlem North,3804,5771.874347,1903568.321,0.068281,36.345763,2372.72432,1250,1250,1249,"Census Tract 184, New York County, New York",8274,121358.9,1500,1551,1160,2786,25274,1111,0,0.181291,0.187455,0.368745,0.416367552,0,55.668605,90,71.463178,91.133721,55.668605,95.397287,0.001598,91.908915,551.162791,Manhattan,61018400,1018400,1903568.321,0,0,0,0,1,1,1,0,0,0,1,1,2,3,1018400
32,190,1,Manhattan,19000,I,MN11,Central Harlem South,3803,4231.827159,1117371.728,0.04008,0,0,1256,1256,1255,"Census Tract 190, New York County, New York",3010,75103.2,466,533,390,1359,56432,192,0,0.154817,0.177076,0.331894,0.286975717,0,18.313953,74,48.643411,46.705426,18.313953,78.972868,0.001442,89.680233,375.04845,Manhattan,61019000,1019000,1117371.728,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1019000
33,201.01,1,Manhattan,20101,I,MN09,Morningside Heights,3802,3329.881695,593526.6576,0.02129,10.077841,193.596109,1268,1268,1267,"Census Tract 201.01, New York County, New York",1921,90252.8,66,101,41,297,92679,75,0,0.034357,0.052577,0.086934,0.138047138,0,7.751938,33,0.872093,11.385659,7.751938,86.19186,0.000959,73.594961,220.833333,Manhattan,61020101,1020101,593526.6576,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1020101
34,201.02,1,Manhattan,20102,E,MN11,Central Harlem South,3803,3745.871035,897067.8827,0.032178,199.860919,4202.999777,1269,1269,1268,"Census Tract 201.02, New York County, New York",4203,130602.5,399,533,484,1777,56157,568,0,0.094932,0.126814,0.221746,0.272369162,0,56.153101,72,7.800388,46.947674,56.153101,96.802326,0.002516,98.837209,434.786822,Manhattan,61020102,1020102,897067.8827,0,0,0,0,1,1,0,0,0,0,1,1,2,2,1020102
35,206,1,Manhattan,20600,E,MN03,Central Harlem North-Polo Grounds,3803,5176.873151,1602693.802,0.057489,65.807704,1599.416273,1272,1272,1271,"Census Tract 206, New York County, New York",3025,52671.1,444,528,424,1329,35583,307,0,0.146777,0.174545,0.321322,0.31903687,0,37.742248,80,41.327519,79.408915,37.742248,60.852713,0.000944,72.286822,409.399225,Manhattan,61020600,1020600,1602693.802,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1020600
36,218,1,Manhattan,21800,E,MN11,Central Harlem South,3803,5775.546074,1958240.312,0.070242,154.035925,6042.713407,1283,1283,1282,"Census Tract 218, New York County, New York",7381,105112.5,1000,1071,758,2693,48781,567,0,0.135483,0.145102,0.280585,0.281470479,0,24.612403,74,20.784884,58.139535,24.612403,91.569767,0.001501,90.600775,383.914729,Manhattan,61021800,1021800,1958240.312,0,0,0,0,1,1,0,0,0,0,1,1,2,2,1021800
37,220,1,Manhattan,22000,E,MN11,Central Harlem South,3803,5691.514036,1882932.86,0.067541,170.519493,4624.541022,1285,1285,1284,"Census Tract 220, New York County, New York",5577,82560.9,837,816,748,2573,39155,642,0,0.150081,0.146315,0.296396,0.290711232,0,45.494186,75,26.889535,74.176357,45.494186,83.091085,0.001435,89.292636,439.583333,Manhattan,61022000,1022000,1882932.86,0,0,0,0,0,0,1,0,0,0,1,1,0,3,1022000
38,229,1,Manhattan,22900,E,MN04,Hamilton Heights,3802,7284.207936,2186714.274,0.078438,130.17051,7883.434417,1295,1295,1294,"Census Tract 229, New York County, New York",8340,99914,904,931,1022,2873,33052,1482,0,0.108393,0.111631,0.220024,0.355725722,0,77.228682,84,7.703488,82.315891,77.228682,89.874031,0.001648,92.635659,511.337209,Manhattan,61022900,1022900,2186714.274,0,0,0,0,0,1,1,1,0,1,1,1,1,5,1022900
39,234,1,Manhattan,23400,E,MN03,Central Harlem North-Polo Grounds,3803,5656.092134,1164816.981,0.041782,93.926612,2899.640236,1300,1300,1299,"Census Tract 234, New York County, New York",5222,124654.8,697,674,660,2165,32272,1193,0,0.133474,0.129069,0.262543,0.304849885,0,90.891473,77,15.794574,82.945736,90.891473,95.930233,0.001949,95.784884,549.612403,Manhattan,61023400,1023400,1164816.981,0,1,0,1,1,1,1,1,0,1,1,1,4,5,1023400
40,239,1,Manhattan,23900,E,MN36,Washington Heights South,3801,3635.962134,687269.0362,0.024652,44.229521,1117.242182,1307,1307,1306,"Census Tract 239, New York County, New York",2526,101940.1,400,346,342,1001,39044,315,0,0.158353,0.136975,0.295329,0.341658342,0,50,83,26.25969,74.467054,50,90.310078,0.001772,93.75,467.441861,Manhattan,61023900,1023900,687269.0362,0,0,0,0,1,1,1,0,0,0,1,1,2,3,1023900
41,249,1,Manhattan,24900,E,MN36,Washington Heights South,3801,3927.821475,652856.3083,0.023418,106.629546,879.530067,1315,1315,1314,"Census Tract 249, New York County, New York",1200,51261.5,153,142,139,381,34044,151,0,0.1275,0.118333,0.245833,0.364829396,0,50.629845,85,11.627907,81.20155,50.629845,59.011628,0.000919,70.978682,409.108527,Manhattan,61024900,1024900,652856.3083,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1024900
42,253,1,Manhattan,25300,E,MN36,Washington Heights South,3801,5651.317584,1822960.362,0.06539,188.717394,11366.99926,1317,1317,1316,"Census Tract 253, New York County, New York",11367,173858.9,1303,1558,1150,3784,36047,2408,0,0.11463,0.137063,0.251693,0.303911205,0,87.596899,77,12.887597,79.021318,87.596899,99.515504,0.002599,98.982558,542.829457,Manhattan,61025300,1025300,1822960.362,0,0,0,0,1,1,1,1,0,1,1,1,2,5,1025300
43,257,1,Manhattan,25700,E,MN11,Central Harlem South,3803,6060.119375,1550590.164,0.05562,266.625772,4470.000042,1319,1319,1318,"Census Tract 257, New York County, New York",4470,80363,659,736,226,1742,74813,412,0,0.147427,0.164653,0.312081,0.129735936,0,32.848837,30,34.98062,24.370155,32.848837,82.122093,0.001406,88.614341,326.017442,Manhattan,61025700,1025700,1550590.164,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1025700
44,261,1,Manhattan,26100,E,MN36,Washington Heights South,3801,5532.1001,1681539.122,0.060317,117.442208,11002.66202,1321,1321,1320,"Census Tract 261, New York County, New York",13686,226920.5,1939,2269,1314,3665,29955,2754,0,0.141678,0.16579,0.307467,0.358526603,0,84.496124,85,32.50969,86.28876,84.496124,99.95155,0.002347,98.207364,570.494186,Manhattan,61026100,1026100,1681539.122,0,0,0,0,1,1,1,1,0,1,1,1,2,5,1026100
45,263,1,Manhattan,26300,E,MN36,Washington Heights South,3801,5730.541687,1691892.076,0.060689,176.766738,9387.999982,1322,1322,1321,"Census Tract 263, New York County, New York",9388,154664.5,1324,1648,933,2868,29119,1984,0,0.141031,0.175543,0.316574,0.325313808,0,87.403101,81,37.984496,87.45155,87.403101,98.74031,0.00198,96.075581,575.920543,Manhattan,61026300,1026300,1691892.076,0,0,0,0,1,1,1,1,0,1,1,1,2,5,1026300
46,267,1,Manhattan,26700,E,MN35,Washington Heights North,3801,3869.447222,518771.5943,0,0,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
47,269,1,Manhattan,26900,E,MN35,Washington Heights North,3801,6017.036711,1889655.623,0,0,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
48,277,1,Manhattan,27700,E,MN35,Washington Heights North,3801,5903.152134,1760155.942,0,0,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
49,5.01,3,Brooklyn,501,I,BK09,Brooklyn Heights-Cobble Hill,4004,4828.170042,901506.9925,0.032337,309.191791,4661.000407,341,341,340,"Census Tract 5.01, Kings County, New York",4661,144187.3,553,579,256,1819,110625,147,0,0.118644,0.124222,0.242866,0.140736668,0,5.232558,34,11.24031,5.523256,5.232558,97.965116,0.00228,97.819767,257.122093,Brooklyn,47000501,3000501,901506.9925,0,0,0,0,1,1,0,0,0,0,1,1,2,2,3000501
50,20,3,Brooklyn,2000,E,BK32,Sunset Park West,4012,5426.067279,1620770.163,0.058137,62.64021,827.480488,349,349,348,"Census Tract 20, Kings County, New York",1321,22200.9,250,163,48,433,71442,308,0,0.189251,0.123391,0.312642,0.110854503,0,91.715116,22,35.513566,27.47093,91.715116,21.027132,0.000337,22.722868,312.257752,Brooklyn,47002000,3002000,1620770.163,0,1,0,1,0,0,0,1,0,1,0,0,2,2,3002000
51,41,3,Brooklyn,4100,I,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4004,5283.85666,1744094.395,0.062561,127.39994,2866.487231,363,363,362,"Census Tract 41, Kings County, New York",3587,57341.1,545,587,94,1503,108105,212,0,0.151938,0.163647,0.315584,0.062541583,0,16.133721,6,37.160853,6.540698,16.133721,66.23062,0.001066,78.343023,226.744186,Brooklyn,47004100,3004100,1744094.395,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3004100
52,52.01,3,Brooklyn,5201,E,BK31,Bay Ridge,4013,5520.047898,1448244.168,0.051947,29.995795,335.345362,372,372,371,"Census Tract 52.01, Kings County, New York",1716,30980.6,280,465,563,1057,17129,85,0,0.16317,0.270979,0.434149,0.532639546,0,12.257752,97,93.071705,98.69186,12.257752,33.817829,0.000557,43.023256,390.310077,Brooklyn,47005201,3005201,1448244.168,1,0,1,0,0,0,1,0,1,0,0,0,2,2,3005201
53,52.02,3,Brooklyn,5202,I,BK31,Bay Ridge,4013,5190.713908,1398134.484,0.05015,55.878531,718.615588,373,373,372,"Census Tract 52.02, Kings County, New York",2439,42686.9,357,430,223,1426,68750,34,0,0.146371,0.176302,0.322673,0.156381487,0,1.792636,40,42.199612,29.699612,1.792636,48.643411,0.001027,76.986434,240.891473,Brooklyn,47005202,3005202,1398134.484,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3005202
54,58,3,Brooklyn,5800,E,BK31,Bay Ridge,4013,6098.167799,2080303.314,0.074621,210.602105,3424.00021,378,378,377,"Census Tract 58, Kings County, New York",3424,45873.7,536,610,301,1535,47118,472,0,0.156542,0.178154,0.334696,0.196091205,0,58.187984,53,50.726744,60.610465,58.187984,52.906977,0.000739,59.302326,393.313954,Brooklyn,47005800,3005800,2080303.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3005800
55,60,3,Brooklyn,6000,I,BK31,Bay Ridge,4013,5498.334387,1639073.926,0.058794,103.81145,2186.372421,380,380,379,"Census Tract 60, Kings County, New York",2798,47594.8,303,450,214,1148,68438,317,0,0.108292,0.160829,0.269121,0.18641115,0,44.670543,49,17.44186,30.184109,44.670543,54.796512,0.000802,63.614341,304.554264,Brooklyn,47006000,3006000,1639073.926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3006000
56,65,3,Brooklyn,6500,I,BK33,Carroll Gardens-Columbia Street-Red Hook,4005,7861.136622,2685633.615,0.096334,26.433345,1405.995223,384,384,383,"Census Tract 65, Kings County, New York",5319,54900.8,718,601,171,2425,104172,461,0,0.134988,0.112991,0.247979,0.070515464,0,29.408915,8,12.209302,7.897287,29.408915,63.953488,0.001046,77.616279,228.585271,Brooklyn,47006500,3006500,2685633.615,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3006500
57,67,3,Brooklyn,6700,I,BK33,Carroll Gardens-Columbia Street-Red Hook,4005,5236.047804,1680804.296,0.060291,67.457239,2055.805923,386,386,385,"Census Tract 67, Kings County, New York",3616,59980.8,506,518,80,1563,156118,81,0,0.139934,0.143252,0.283186,0.051183621,0,3.003876,4,21.608527,1.841085,3.003876,68.604651,0.001095,79.457364,181.346899,Brooklyn,47006700,3006700,1680804.296,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3006700
